label_en,propuesta_es,categoria,mostrar_al_usuario,nota
ABNORMAL ECG,ECG anormal,resumen,no,Enunciado de resumen/comparación global del trazado; no debe mostrarse junto a hallazgos específicos
NORMAL SINUS RHYTHM,ritmo sinusal normal,ritmo,si,Diagnóstico de ritmo de base; terminología estándar
NORMAL ECG,ECG normal,resumen,no,Enunciado de resumen global del trazado; no debe mostrarse junto a hallazgos específicos
SINUS RHYTHM,ritmo sinusal,ritmo,si,Término estándar (glosario SEC)
SINUS BRADYCARDIA,bradicardia sinusal,ritmo,si,Término estándar
ATRIAL FIBRILLATION,fibrilación auricular,ritmo,si,Término dado en el enunciado; guía ESC 2020/2024 FA (Rev Esp Cardiol)
SINUS TACHYCARDIA,taquicardia sinusal,ritmo,si,Término estándar
otherwise normal ecg,"por lo demás, ECG normal",resumen,no,Fragmento de resumen que acompaña a otro hallazgo menor; no es un hallazgo en sí mismo
LEFT AXIS DEVIATION,desviación del eje a la izquierda,eje,si,Término dado en el enunciado de la tarea
PREMATURE VENTRICULAR COMPLEXES,extrasístoles ventriculares,ritmo,si,Término dado en el enunciado; equivalente 'complejos ventriculares prematuros' también en uso
BORDERLINE ECG,ECG límite,resumen,no,"Enunciado de resumen/incertidumbre sobre el trazado completo, no un hallazgo específico"
RIGHT BUNDLE BRANCH BLOCK,bloqueo de rama derecha,conduccion,si,Término dado en el enunciado de la tarea
SEPTAL INFARCT,infarto septal,isquemia_infarto,si,Localización estándar del infarto
LEFT ATRIAL ENLARGEMENT,crecimiento auricular izquierdo,hipertrofia,si,SEC usa 'crecimiento' y 'agrandamiento' como sinónimos; se prefiere 'crecimiento auricular izquierdo'
NONSPECIFIC T WAVE ABNORMALITY,anomalía inespecífica de la onda T,repolarizacion,si,Término estándar de electrocardiografía
LOW VOLTAGE QRS,bajo voltaje del QRS,tecnico,si,"Criterio de amplitud con implicación clínica (derrame pericárdico, obesidad, EPOC, amiloidosis)"
PREMATURE ATRIAL COMPLEXES,extrasístoles auriculares,ritmo,si,Término estándar
ANTERIOR INFARCT,infarto anterior,isquemia_infarto,si,Localización estándar del infarto
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,bloqueo incompleto de rama derecha,conduccion,si,Término estándar
PREMATURE SUPRAVENTRICULAR COMPLEXES,extrasístoles supraventriculares,ritmo,si,Término estándar
LEFT BUNDLE BRANCH BLOCK,bloqueo de rama izquierda,conduccion,si,Término estándar
NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,"anomalía inespecífica de la onda T, ahora evidente en",repolarizacion,revisar,Fragmento de comparación con un ECG previo (plantilla GE 12SL); requiere lista de derivaciones y trazado previo para tener sentido
NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,"anomalía inespecífica de la onda T, ya no evidente en",repolarizacion,revisar,Fragmento de comparación con un ECG previo; no es un hallazgo independiente
T WAVE INVERSION NOW EVIDENT IN,"inversión de la onda T, ahora evidente en",repolarizacion,revisar,Fragmento de comparación con un ECG previo
